range, tpr, tnr
0,0.95,0.95
10,0.949999999732254,0.949999999732254
20,0.949999991432141,0.949999991432141
30,0.949999934937824,0.949999934937824
40,0.949999725828524,0.949999725828524
50,0.949999163295056,0.949999163295056
60,0.949997918010353,0.949997918010353
70,0.9499955,0.9499955
80,0.949991226512763,0.949991226512763
90,0.949984189891117,0.949984189891117
100,0.94997322544178,0.94997322544178
110,0.949956879306241,0.949956879306241
120,0.94993337633129,0.94993337633129
130,0.949900587939549,0.949900587939549
140,0.949856,0.949856
150,0.949796680698519,0.949796680698519
160,0.949719248408401,0.949719248408401
170,0.949619839560897,0.949619839560897
180,0.949494076515737,0.949494076515737
190,0.949337035431665,0.949337035431665
200,0.949143214136967,0.949143214136967
210,0.9489065,0.9489065
220,0.948620137799726,0.948620137799726
230,0.94827669759624,0.94827669759624
240,0.947868042601297,0.947868042601297
250,0.947385297048849,0.947385297048849
260,0.946818814065568,0.946818814065568
270,0.946158143541382,0.946158143541382
280,0.945392,0.945392
290,0.944508230469447,0.944508230469447
300,0.943493782352591,0.943493782352591
310,0.942334671297674,0.942334671297674
320,0.94101594906884,0.94101594906884
330,0.939521671416672,0.939521671416672
340,0.937834865948712,0.937834865948712
350,0.9359375,0.9359375
360,0.9338104485036,0.9338104485036
370,0.931433461861129,0.931433461861129
380,0.928785133813292,0.928785133813292
390,0.925842869310406,0.925842869310406
400,0.922582852382936,0.922582852382936
410,0.918980014012019,0.918980014012019
420,0.915008,0.915008
430,0.910639138840959,0.910639138840959
440,0.905844409591242,0.905844409591242
450,0.900593409739989,0.900593409739989
460,0.894854323079669,0.894854323079669
470,0.888593887576605,0.888593887576605
480,0.881777363241506,0.881777363241506
490,0.8743685,0.8743685
500,0.866329505563158,0.866329505563158
510,0.857621013298031,0.857621013298031
520,0.848202050098173,0.848202050098173
530,0.83803000425418,0.83803000425418
540,0.82706059332421,0.82706059332421
550,0.815247832004522,0.815247832004522
560,0.802544,0.802544
570,0.788899609894687,0.788899609894687
580,0.774263375022312,0.774263375022312
590,0.758582177336824,0.758582177336824
600,0.741801035282918,0.741801035282918
610,0.723863071666567,0.723863071666567
620,0.704709481525555,0.704709481525555
630,0.6842795,0.6842795
640,0.662510370202892,0.662510370202892
650,0.639337311090617,0.639337311090617
660,0.614693485333492,0.614693485333492
670,0.588509967186291,0.588509967186291
680,0.560715710358779,0.560715710358779
690,0.531237515886238,0.531237515886238
700,0.5,0.5
710,0.5,0.5
720,0.5,0.5
730,0.5,0.5
740,0.5,0.5
750,0.5,0.5
