range,tpr,tnr
10.0,0.0,0.9056603773584906
20.0,0.0,0.9803921568627451
30.0,0.0,0.9302325581395349
40.0,0.0,0.9821428571428571
50.0,0.0,0.99
60.0,0.07692307692307693,0.9736842105263158
70.0,0.10344827586206896,0.99
80.0,0.18181818181818182,0.9555555555555556
90.0,0.37735849056603776,0.99
100.0,0.45,0.9827586206896551
110.0,0.6451612903225806,0.99
120.0,0.7755102040816326,0.99
130.0,0.7169811320754716,0.99
140.0,0.9473684210526315,0.99
150.0,0.9230769230769231,0.99
160.0,0.9803921568627451,0.99
170.0,0.9565217391304348,0.9555555555555556
180.0,0.9841269841269841,0.99
190.0,0.99,0.99
200.0,0.9787234042553191,0.99
210.0,0.98,0.99
220.0,0.9622641509433962,0.99
230.0,0.9791666666666666,0.99
240.0,0.9607843137254902,0.99
250.0,0.9622641509433962,0.9824561403508771
260.0,0.9622641509433962,0.99
270.0,0.9818181818181818,0.99
280.0,0.9428571428571428,0.99
290.0,0.9795918367346939,0.99
300.0,0.9666666666666667,0.99
310.0,0.9722222222222222,0.9811320754716981
320.0,0.9795918367346939,0.984375
330.0,0.9814814814814815,0.99
340.0,0.9302325581395349,0.99
350.0,0.9487179487179487,0.99
360.0,0.9310344827586207,0.99
370.0,0.99,0.99
380.0,0.99,0.99
390.0,0.9811320754716981,0.99
400.0,0.9791666666666666,0.99
410.0,0.9285714285714286,0.99
420.0,0.9534883720930233,0.99
430.0,0.9629629629629629,0.99
440.0,0.8571428571428571,0.99
450.0,0.8888888888888888,0.99
460.0,0.8,0.99
470.0,0.8076923076923077,0.99
480.0,0.9361702127659575,0.99
490.0,0.9454545454545454,0.99
500.0,0.88,0.99
510.0,0.8163265306122449,0.99
520.0,0.8333333333333334,0.99
530.0,0.7741935483870968,0.99
540.0,0.8235294117647058,0.99
550.0,0.8166666666666667,0.98
560.0,0.8205128205128205,0.99
570.0,0.7755102040816326,0.9824561403508771
580.0,0.6851851851851852,0.99
590.0,0.7868852459016393,0.99
600.0,0.782608695652174,0.99
610.0,0.7457627118644068,0.99
620.0,0.6764705882352942,0.99
630.0,0.8,0.99
640.0,0.6842105263157895,0.99
650.0,0.5740740740740741,0.99
660.0,0.62,0.99
670.0,0.6666666666666666,0.99
680.0,0.5737704918032787,0.9767441860465116
690.0,0.5555555555555556,0.99
700.0,0.5079365079365079,0.99
710.0,0.5357142857142857,0.99
720.0,0.543859649122807,0.99
730.0,0.5357142857142857,0.99
740.0,0.5333333333333333,0.99
750.0,0.49122807017543857,0.99
760.0,0.5737704918032787,0.99
770.0,0.45454545454545453,0.9830508474576272
780.0,0.525,0.99
790.0,0.4,0.99
800.0,0.391304347826087,0.99
810.0,0.4375,0.99
820.0,0.421875,0.99
830.0,0.44776119402985076,0.99
840.0,0.5178571428571429,0.99
850.0,0.4222222222222222,0.99
860.0,0.4444444444444444,0.99
870.0,0.5185185185185185,0.99
880.0,0.2727272727272727,0.99
890.0,0.21951219512195122,0.99
900.0,0.18,0.99
910.0,0.2608695652173913,0.99
920.0,0.23728813559322035,0.99
930.0,0.25925925925925924,0.99
940.0,0.2692307692307692,0.99
950.0,0.3584905660377358,0.99
960.0,0.23809523809523808,0.99
970.0,0.175,0.99
980.0,0.15217391304347827,0.99
990.0,0.12,0.99
