range,tpr,tnr
185,0.10621,0.10621
195,0.10621,0.10621
205,0.10621,0.10621
215,0.10621,0.10621
225,0.10621,0.10621
235,0.10621,0.10621
245,0.10621,0.10621
255,0.10621,0.10621
265,0.10621,0.10621
275,0.10621,0.10621
285,0.10621,0.10621
295,0.10621,0.10621
305,0.10621,0.10621
315,0.10621,0.10621
325,0.10621,0.10621
335,0.10621,0.10621
345,0.10621,0.10621
355,0.10621,0.10621
365,0.10621,0.10621
375,0.10621,0.10621
385,0.10621,0.10621
395,0.10621,0.10621
405,0.10621,0.10621
415,0.10621,0.10621
425,0.10621,0.10621
435,0.10621,0.10621
445,0.10621,0.10621
455,0.10621,0.10621
465,0.08465,0.08465
475,0.08465,0.08465
485,0.08465,0.08465
495,0.08465,0.08465
505,0.08465,0.08465
515,0.08465,0.08465
525,0.08465,0.08465
535,0.08465,0.08465
545,0.08465,0.08465
555,0.08465,0.08465
565,0.08465,0.08465
575,0.08465,0.08465
585,0.08465,0.08465
595,0.08465,0.08465
605,0.08465,0.08465
615,0.08465,0.08465
625,0.08465,0.08465
635,0.08465,0.08465
645,0.08465,0.08465
655,0.08465,0.08465
665,0.08465,0.08465
675,0.08465,0.08465
685,0.08465,0.08465
695,0.08465,0.08465
705,0.08465,0.08465
715,0.08465,0.08465
725,0.08465,0.08465
735,0.08465,0.08465
745,0.08465,0.08465
755,0.08465,0.08465
765,0.08465,0.08465
775,0.08465,0.08465
785,0.08465,0.08465
795,0.08465,0.08465
805,0.08465,0.08465
815,0.08465,0.08465
825,0.08465,0.08465
835,0.08465,0.08465
845,0.08465,0.08465
855,0.08465,0.08465
865,0.08465,0.08465
875,0.08465,0.08465
885,0.08465,0.08465
895,0.08465,0.08465
905,0.08465,0.08465
915,0.08465,0.08465
925,0.08465,0.08465
935,0.13391,0.13391
945,0.13391,0.13391
955,0.13391,0.13391
965,0.13391,0.13391
975,0.13391,0.13391
985,0.13391,0.13391
995,0.13391,0.13391
1005,0.13391,0.13391
1015,0.13391,0.13391
1025,0.13391,0.13391
1035,0.13391,0.13391
1045,0.13391,0.13391
1055,0.13391,0.13391
1065,0.13391,0.13391
1075,0.13391,0.13391
1085,0.13391,0.13391
1095,0.13391,0.13391
1105,0.13391,0.13391
1115,0.13391,0.13391
1125,0.13391,0.13391
1135,0.13391,0.13391
1145,0.13391,0.13391
1155,0.13391,0.13391
1165,0.13391,0.13391
1175,0.13391,0.13391
1185,0.13391,0.13391
1195,0.13391,0.13391
1205,0.13391,0.13391
1215,0.13391,0.13391
1225,0.13391,0.13391
1235,0.13391,0.13391
1245,0.13391,0.13391
1255,0.13391,0.13391
1265,0.13391,0.13391
1275,0.13391,0.13391
1285,0.13391,0.13391
1295,0.13391,0.13391
1305,0.13391,0.13391
1315,0.13391,0.13391
1325,0.13391,0.13391
1335,0.13391,0.13391
1345,0.13391,0.13391
1355,0.13391,0.13391
1365,0.13391,0.13391
1375,0.13391,0.13391
1385,0.13391,0.13391
1395,0.13391,0.13391
1405,0.13391,0.13391
1415,0.13391,0.13391
1425,0.13391,0.13391
1435,0.13391,0.13391
1445,0.13391,0.13391
1455,0.13391,0.13391
1465,0.13391,0.13391
1475,0.13391,0.13391
1485,0.13391,0.13391
1495,0.13391,0.13391
1505,0.13391,0.13391
1515,0.13391,0.13391
1525,0.13391,0.13391
1535,0.13391,0.13391
1545,0.13391,0.13391
1555,0.13391,0.13391
1565,0.13391,0.13391
1575,0.13391,0.13391
1585,0.13391,0.13391
1595,0.13391,0.13391
1605,0.13391,0.13391
1615,0.13391,0.13391
1625,0.13391,0.13391
1635,0.13391,0.13391
1645,0.13391,0.13391
1655,0.13391,0.13391
1665,0.13391,0.13391
1675,0.13391,0.13391
1685,0.13391,0.13391
1695,0.13391,0.13391
1705,0.13391,0.13391
1715,0.13391,0.13391
1725,0.13391,0.13391
1735,0.13391,0.13391
1745,0.13391,0.13391
1755,0.13391,0.13391
1765,0.13391,0.13391
1775,0.13391,0.13391
1785,0.13391,0.13391
1795,0.13391,0.13391
1805,0.13391,0.13391
1815,0.13391,0.13391
1825,0.13391,0.13391
1835,0.13391,0.13391
1845,0.13391,0.13391
1855,0.14698,0.14698
1865,0.14698,0.14698
1875,0.14698,0.14698
1885,0.14698,0.14698
1895,0.14698,0.14698
1905,0.14698,0.14698
1915,0.14698,0.14698
1925,0.14698,0.14698
1935,0.14698,0.14698
1945,0.14698,0.14698
1955,0.14698,0.14698
1965,0.14698,0.14698
1975,0.14698,0.14698
