range,tpr,tnr
5,0.71068,0.71068
15,0.71068,0.71068
25,0.71068,0.71068
35,0.71068,0.71068
45,0.71068,0.71068
55,0.71068,0.71068
65,0.71068,0.71068
75,0.71068,0.71068
85,0.71068,0.71068
95,0.71068,0.71068
105,0.71068,0.71068
115,0.71068,0.71068
125,0.71068,0.71068
135,0.71068,0.71068
145,0.71068,0.71068
155,0.71068,0.71068
165,0.71068,0.71068
175,0.71068,0.71068
185,0.71068,0.71068
195,0.71068,0.71068
205,0.71068,0.71068
215,0.71068,0.71068
225,0.71068,0.71068
235,0.71068,0.71068
245,0.71068,0.71068
255,0.71068,0.71068
265,0.71068,0.71068
275,0.71068,0.71068
285,0.71068,0.71068
295,0.71068,0.71068
305,0.71068,0.71068
315,0.71068,0.71068
325,0.71068,0.71068
335,0.71068,0.71068
345,0.71068,0.71068
355,0.71068,0.71068
365,0.71068,0.71068
375,0.71068,0.71068
385,0.71068,0.71068
395,0.71068,0.71068
405,0.71068,0.71068
415,0.71068,0.71068
425,0.71068,0.71068
435,0.71068,0.71068
445,0.71068,0.71068
455,0.71068,0.71068
465,0.86906,0.86906
475,0.86906,0.86906
485,0.86906,0.86906
495,0.86906,0.86906
505,0.86906,0.86906
515,0.86906,0.86906
525,0.86906,0.86906
535,0.86906,0.86906
545,0.86906,0.86906
555,0.86906,0.86906
565,0.86906,0.86906
575,0.86906,0.86906
585,0.86906,0.86906
595,0.86906,0.86906
605,0.86906,0.86906
615,0.86906,0.86906
625,0.86906,0.86906
635,0.86906,0.86906
645,0.86906,0.86906
655,0.86906,0.86906
665,0.86906,0.86906
675,0.86906,0.86906
685,0.86906,0.86906
695,0.86906,0.86906
705,0.86906,0.86906
715,0.86906,0.86906
725,0.86906,0.86906
735,0.86906,0.86906
745,0.86906,0.86906
755,0.86906,0.86906
765,0.86906,0.86906
775,0.86906,0.86906
785,0.86906,0.86906
795,0.86906,0.86906
805,0.86906,0.86906
815,0.86906,0.86906
825,0.86906,0.86906
835,0.86906,0.86906
845,0.86906,0.86906
855,0.86906,0.86906
865,0.86906,0.86906
875,0.86906,0.86906
885,0.86906,0.86906
895,0.86906,0.86906
905,0.86906,0.86906
915,0.86906,0.86906
925,0.86906,0.86906
935,0.93279,0.93279
945,0.93279,0.93279
955,0.93279,0.93279
965,0.93279,0.93279
975,0.93279,0.93279
985,0.93279,0.93279
995,0.93279,0.93279
1005,0.93279,0.93279
1015,0.93279,0.93279
1025,0.93279,0.93279
1035,0.93279,0.93279
1045,0.93279,0.93279
1055,0.93279,0.93279
1065,0.93279,0.93279
1075,0.93279,0.93279
1085,0.93279,0.93279
1095,0.93279,0.93279
1105,0.93279,0.93279
1115,0.93279,0.93279
1125,0.93279,0.93279
1135,0.93279,0.93279
1145,0.93279,0.93279
1155,0.93279,0.93279
1165,0.93279,0.93279
1175,0.93279,0.93279
1185,0.93279,0.93279
1195,0.93279,0.93279
1205,0.93279,0.93279
1215,0.93279,0.93279
1225,0.93279,0.93279
1235,0.93279,0.93279
1245,0.93279,0.93279
1255,0.93279,0.93279
1265,0.93279,0.93279
1275,0.93279,0.93279
1285,0.93279,0.93279
1295,0.93279,0.93279
1305,0.93279,0.93279
1315,0.93279,0.93279
1325,0.93279,0.93279
1335,0.93279,0.93279
1345,0.93279,0.93279
1355,0.93279,0.93279
1365,0.93279,0.93279
1375,0.93279,0.93279
1385,0.93279,0.93279
1395,0.93279,0.93279
1405,0.93279,0.93279
1415,0.93279,0.93279
1425,0.93279,0.93279
1435,0.93279,0.93279
1445,0.93279,0.93279
1455,0.93279,0.93279
1465,0.93279,0.93279
1475,0.93279,0.93279
1485,0.93279,0.93279
1495,0.93279,0.93279
1505,0.93279,0.93279
1515,0.93279,0.93279
1525,0.93279,0.93279
1535,0.93279,0.93279
1545,0.93279,0.93279
1555,0.93279,0.93279
1565,0.93279,0.93279
1575,0.93279,0.93279
1585,0.93279,0.93279
1595,0.93279,0.93279
1605,0.93279,0.93279
1615,0.93279,0.93279
1625,0.93279,0.93279
1635,0.93279,0.93279
1645,0.93279,0.93279
1655,0.93279,0.93279
1665,0.93279,0.93279
1675,0.93279,0.93279
1685,0.93279,0.93279
1695,0.93279,0.93279
1705,0.93279,0.93279
1715,0.93279,0.93279
1725,0.93279,0.93279
1735,0.93279,0.93279
1745,0.93279,0.93279
1755,0.93279,0.93279
1765,0.93279,0.93279
1775,0.93279,0.93279
1785,0.93279,0.93279
1795,0.93279,0.93279
1805,0.93279,0.93279
1815,0.93279,0.93279
1825,0.93279,0.93279
1835,0.93279,0.93279
1845,0.93279,0.93279
1855,0.92076,0.92076
1865,0.92076,0.92076
1875,0.92076,0.92076
1885,0.92076,0.92076
1895,0.92076,0.92076
1905,0.92076,0.92076
1915,0.92076,0.92076
1925,0.92076,0.92076
1935,0.92076,0.92076
1945,0.92076,0.92076
1955,0.92076,0.92076
1965,0.92076,0.92076
1975,0.92076,0.92076
1985,0.92076,0.92076
1995,0.92076,0.92076
2005,0.92076,0.92076
2015,0.92076,0.92076
2025,0.92076,0.92076
2035,0.92076,0.92076
2045,0.92076,0.92076
2055,0.92076,0.92076
2065,0.92076,0.92076
2075,0.92076,0.92076
2085,0.92076,0.92076
2095,0.92076,0.92076
2105,0.92076,0.92076
2115,0.92076,0.92076
2125,0.92076,0.92076
2135,0.92076,0.92076
2145,0.92076,0.92076
2155,0.92076,0.92076
2165,0.92076,0.92076
2175,0.92076,0.92076
2185,0.92076,0.92076
2195,0.92076,0.92076
2205,0.92076,0.92076
2215,0.92076,0.92076
2225,0.92076,0.92076
2235,0.92076,0.92076
2245,0.92076,0.92076
2255,0.92076,0.92076
2265,0.92076,0.92076
2275,0.92076,0.92076
2285,0.92076,0.92076
2295,0.92076,0.92076
2305,0.92076,0.92076
2315,0.92076,0.92076
2325,0.92076,0.92076
2335,0.92076,0.92076
2345,0.92076,0.92076
2355,0.92076,0.92076
2365,0.92076,0.92076
2375,0.92076,0.92076
2385,0.92076,0.92076
2395,0.92076,0.92076
2405,0.92076,0.92076
2415,0.92076,0.92076
2425,0.92076,0.92076
2435,0.92076,0.92076
2445,0.92076,0.92076
2455,0.92076,0.92076
2465,0.92076,0.92076
2475,0.92076,0.92076
2485,0.92076,0.92076
2495,0.92076,0.92076
2505,0.92076,0.92076
2515,0.92076,0.92076
2525,0.92076,0.92076
2535,0.92076,0.92076
2545,0.92076,0.92076
2555,0.92076,0.92076
2565,0.92076,0.92076
2575,0.92076,0.92076
2585,0.92076,0.92076
2595,0.92076,0.92076
2605,0.92076,0.92076
2615,0.92076,0.92076
2625,0.92076,0.92076
2635,0.92076,0.92076
2645,0.92076,0.92076
2655,0.92076,0.92076
2665,0.92076,0.92076
2675,0.92076,0.92076
2685,0.92076,0.92076
2695,0.92076,0.92076
2705,0.92076,0.92076
2715,0.92076,0.92076
2725,0.92076,0.92076
2735,0.92076,0.92076
2745,0.92076,0.92076
2755,0.92076,0.92076
2765,0.92076,0.92076
2775,0.89884,0.89884
2785,0.89884,0.89884
2795,0.89884,0.89884
2805,0.89884,0.89884
2815,0.89884,0.89884
2825,0.89884,0.89884
2835,0.89884,0.89884
2845,0.89884,0.89884
2855,0.89884,0.89884
2865,0.89884,0.89884
2875,0.89884,0.89884
2885,0.89884,0.89884
2895,0.89884,0.89884
2905,0.89884,0.89884
2915,0.89884,0.89884
2925,0.89884,0.89884
2935,0.89884,0.89884
2945,0.89884,0.89884
2955,0.89884,0.89884
2965,0.89884,0.89884
2975,0.89884,0.89884
2985,0.89884,0.89884
2995,0.89884,0.89884
3005,0.89884,0.89884
3015,0.89884,0.89884
3025,0.89884,0.89884
3035,0.89884,0.89884
3045,0.89884,0.89884
3055,0.89884,0.89884
3065,0.89884,0.89884
3075,0.89884,0.89884
3085,0.89884,0.89884
3095,0.89884,0.89884
3105,0.89884,0.89884
3115,0.89884,0.89884
3125,0.89884,0.89884
3135,0.89884,0.89884
3145,0.89884,0.89884
3155,0.89884,0.89884
3165,0.89884,0.89884
3175,0.89884,0.89884
3185,0.89884,0.89884
3195,0.89884,0.89884
3205,0.89884,0.89884
3215,0.89884,0.89884
3225,0.89884,0.89884
3235,0.89884,0.89884
3245,0.89884,0.89884
3255,0.89884,0.89884
3265,0.89884,0.89884
3275,0.89884,0.89884
3285,0.89884,0.89884
3295,0.89884,0.89884
3305,0.89884,0.89884
3315,0.89884,0.89884
3325,0.89884,0.89884
3335,0.89884,0.89884
3345,0.89884,0.89884
3355,0.89884,0.89884
3365,0.89884,0.89884
3375,0.89884,0.89884
3385,0.89884,0.89884
3395,0.89884,0.89884
3405,0.89884,0.89884
3415,0.89884,0.89884
3425,0.89884,0.89884
3435,0.89884,0.89884
3445,0.89884,0.89884
3455,0.89884,0.89884
3465,0.89884,0.89884
3475,0.89884,0.89884
3485,0.89884,0.89884
3495,0.89884,0.89884
3505,0.89884,0.89884
3515,0.89884,0.89884
3525,0.89884,0.89884
3535,0.89884,0.89884
3545,0.89884,0.89884
3555,0.89884,0.89884
3565,0.89884,0.89884
3575,0.89884,0.89884
3585,0.89884,0.89884
3595,0.89884,0.89884
3605,0.89884,0.89884
3615,0.89884,0.89884
3625,0.89884,0.89884
3635,0.89884,0.89884
3645,0.89884,0.89884
3655,0.89884,0.89884
3665,0.89884,0.89884
3675,0.89884,0.89884
3685,0.89884,0.89884
3695,0.89884,0.89884
3705,0.85121,0.85121
3715,0.85121,0.85121
3725,0.85121,0.85121
3735,0.85121,0.85121
3745,0.85121,0.85121
3755,0.85121,0.85121
3765,0.85121,0.85121
3775,0.85121,0.85121
3785,0.85121,0.85121
3795,0.85121,0.85121
3805,0.85121,0.85121
3815,0.85121,0.85121
3825,0.85121,0.85121
