range,tpr,tnr
0,0.9,0.9
10,0.9,0.9
20,0.9,0.9
30,0.9,0.9
40,0.9,0.9
50,0.9,0.9
60,0.9,0.9
70,0.9,0.9
80,0.9,0.9
90,0.9,0.9
100,0.9,0.9
110,0.9,0.9
120,0.9,0.9
130,0.9,0.9
140,0.9,0.9
150,0.9,0.9
160,0.9,0.9
170,0.9,0.9
180,0.9,0.9
190,0.9,0.9
200,0.9,0.9
210,0.9,0.9
220,0.9,0.9
230,0.9,0.9
240,0.9,0.9
250,0.9,0.9
260,0.9,0.9
270,0.9,0.9
280,0.9,0.9
290,0.9,0.9
300,0.9,0.9
310,0.9,0.9
320,0.9,0.9
330,0.9,0.9
340,0.9,0.9
350,0.9,0.9
360,0.9,0.9
370,0.9,0.9
380,0.9,0.9
390,0.9,0.9
400,0.9,0.9
410,0.8,0.8
420,0.8,0.8
430,0.8,0.8
440,0.8,0.8
450,0.8,0.8
460,0.8,0.8
470,0.8,0.8
480,0.8,0.8
490,0.8,0.8
500,0.8,0.8
510,0.8,0.8
520,0.8,0.8
530,0.8,0.8
540,0.8,0.8
550,0.8,0.8
560,0.8,0.8
570,0.8,0.8
580,0.8,0.8
590,0.8,0.8
600,0.8,0.8
610,0.8,0.8
620,0.8,0.8
630,0.8,0.8
640,0.8,0.8
650,0.8,0.8
660,0.8,0.8
670,0.892881071170618,0.892881071170618
680,0.889291071170618,0.889291071170618
690,0.885701071170618,0.885701071170618
700,0.882111071170618,0.882111071170618
710,0.878521071170618,0.878521071170618
720,0.874931071170618,0.874931071170618
730,0.871341071170618,0.871341071170618
740,0.867751071170618,0.867751071170618
750,0.864161071170618,0.864161071170618
760,0.860571071170618,0.860571071170618
770,0.856981071170618,0.856981071170618
780,0.853391071170618,0.853391071170618
790,0.849801071170618,0.849801071170618
800,0.846211071170618,0.846211071170618
810,0.842621071170618,0.842621071170618
820,0.839031071170618,0.839031071170618
830,0.835441071170618,0.835441071170618
840,0.831851071170618,0.831851071170618
850,0.828261071170618,0.828261071170618
860,0.824671071170618,0.824671071170618
870,0.821081071170618,0.821081071170618
880,0.817491071170618,0.817491071170618
890,0.813901071170618,0.813901071170618
900,0.810311071170619,0.810311071170619
910,0.806721071170619,0.806721071170619
920,0.803131071170619,0.803131071170619
930,0.799541071170619,0.799541071170619
940,0.795951071170619,0.795951071170619
950,0.792361071170619,0.792361071170619
960,0.788771071170619,0.788771071170619
970,0.785181071170619,0.785181071170619
980,0.781591071170619,0.781591071170619
990,0.778001071170619,0.778001071170619
1000,0.774411071170619,0.774411071170619
1010,0.770821071170619,0.770821071170619
1020,0.767231071170619,0.767231071170619
1030,0.763641071170619,0.763641071170619
1040,0.760051071170619,0.760051071170619
1050,0.756461071170619,0.756461071170619
1060,0.752871071170619,0.752871071170619
1070,0.749281071170619,0.749281071170619
1080,0.745691071170619,0.745691071170619
1090,0.742101071170619,0.742101071170619
1100,0.738511071170619,0.738511071170619
1110,0.734921071170619,0.734921071170619
1120,0.731331071170619,0.731331071170619
1130,0.727741071170619,0.727741071170619
1140,0.724151071170619,0.724151071170619
1150,0.720561071170619,0.720561071170619
1160,0.716971071170619,0.716971071170619
1170,0.713381071170619,0.713381071170619
1180,0.709791071170619,0.709791071170619
1190,0.706201071170619,0.706201071170619
1200,0.702611071170619,0.702611071170619
1210,0.7,0.7
1220,0.7,0.7
1230,0.7,0.7
1240,0.7,0.7
1250,0.7,0.7
1260,0.7,0.7
1270,0.7,0.7
1280,0.7,0.7
1290,0.7,0.7
1300,0.7,0.7
1310,0.7,0.7
1320,0.7,0.7
1330,0.7,0.7
1340,0.7,0.7
1350,0.7,0.7
1360,0.7,0.7
1370,0.7,0.7
1380,0.7,0.7
1390,0.7,0.7
1400,0.7,0.7
1410,0.7,0.7
1420,0.7,0.7
1430,0.7,0.7
1440,0.7,0.7
1450,0.7,0.7
1460,0.7,0.7
1470,0.7,0.7
1480,0.7,0.7
1490,0.7,0.7
1500,0.699021071170619,0.699021071170619
1510,0.695431071170619,0.695431071170619
1520,0.691841071170619,0.691841071170619
1530,0.688251071170619,0.688251071170619
1540,0.684661071170619,0.684661071170619
1550,0.681071071170619,0.681071071170619
1560,0.677481071170619,0.677481071170619
1570,0.673891071170619,0.673891071170619
1580,0.670301071170619,0.670301071170619
1590,0.666711071170619,0.666711071170619
1600,0.663121071170619,0.663121071170619
1610,0.659531071170619,0.659531071170619
1620,0.655941071170619,0.655941071170619
1630,0.652351071170619,0.652351071170619
1640,0.648761071170619,0.648761071170619
1650,0.645171071170619,0.645171071170619
1660,0.641581071170619,0.641581071170619
1670,0.637991071170619,0.637991071170619
1680,0.634401071170619,0.634401071170619
1690,0.630811071170619,0.630811071170619
1700,0.627221071170619,0.627221071170619
1710,0.623631071170619,0.623631071170619
1720,0.620041071170619,0.620041071170619
1730,0.616451071170619,0.616451071170619
1740,0.612861071170619,0.612861071170619
1750,0.60927107117062,0.60927107117062
1760,0.60568107117062,0.60568107117062
1770,0.60209107117062,0.60209107117062
1780,0.59850107117062,0.59850107117062
1790,0.59491107117062,0.59491107117062
1800,0.59132107117062,0.59132107117062
1810,0.58773107117062,0.58773107117062
1820,0.58414107117062,0.58414107117062
1830,0.58055107117062,0.58055107117062
1840,0.57696107117062,0.57696107117062
1850,0.57337107117062,0.57337107117062
1860,0.56978107117062,0.56978107117062
1870,0.56619107117062,0.56619107117062
1880,0.56260107117062,0.56260107117062
1890,0.55901107117062,0.55901107117062
1900,0.55542107117062,0.55542107117062
1910,0.55183107117062,0.55183107117062
1920,0.54824107117062,0.54824107117062
1930,0.54465107117062,0.54465107117062
1940,0.54106107117062,0.54106107117062
1950,0.53747107117062,0.53747107117062
1960,0.53388107117062,0.53388107117062
1970,0.53029107117062,0.53029107117062
1980,0.52670107117062,0.52670107117062
1990,0.52311107117062,0.52311107117062
2000,0.52,0.52
