range,tpr,tnr
0,0.9,0.9
10,0.9,0.9
20,0.9,0.9
30,0.9,0.9
40,0.9,0.9
50,0.9,0.9
60,0.9,0.9
70,0.9,0.9
80,0.9,0.9
90,0.9,0.9
100,0.9,0.9
110,0.9,0.9
120,0.9,0.9
130,0.9,0.9
140,0.9,0.9
150,0.9,0.9
160,0.9,0.9
170,0.9,0.9
180,0.9,0.9
190,0.9,0.9
200,0.9,0.9
210,0.9,0.9
220,0.9,0.9
230,0.9,0.9
240,0.9,0.9
250,0.9,0.9
260,0.9,0.9
270,0.9,0.9
280,0.9,0.9
290,0.9,0.9
300,0.9,0.9
310,0.9,0.9
320,0.9,0.9
330,0.9,0.9
340,0.9,0.9
350,0.9,0.9
360,0.9,0.9
370,0.9,0.9
380,0.9,0.9
390,0.9,0.9
400,0.9,0.9
410,0.9,0.9
420,0.9,0.9
430,0.9,0.9
440,0.9,0.9
450,0.9,0.9
460,0.9,0.9
470,0.9,0.9
480,0.9,0.9
490,0.9,0.9
500,0.9,0.9
510,0.9,0.9
520,0.9,0.9
530,0.9,0.9
540,0.9,0.9
550,0.9,0.9
560,0.9,0.9
570,0.9,0.9
580,0.9,0.9
590,0.9,0.9
600,0.9,0.9
610,0.9,0.9
620,0.9,0.9
630,0.9,0.9
640,0.9,0.9
650,0.9,0.9
660,0.9,0.9
670,0.9,0.9
680,0.9,0.9
690,0.9,0.9
700,0.9,0.9
710,0.9,0.9
720,0.9,0.9
730,0.9,0.9
740,0.9,0.9
750,0.8,0.8
760,0.8,0.8
770,0.8,0.8
780,0.8,0.8
790,0.8,0.8
800,0.8,0.8
810,0.8,0.8
820,0.8,0.8
830,0.8,0.8
840,0.8,0.8
850,0.8,0.8
860,0.8,0.8
870,0.8,0.8
880,0.8,0.8
890,0.8,0.8
900,0.8,0.8
910,0.8,0.8
920,0.8,0.8
930,0.8,0.8
940,0.8,0.8
950,0.8,0.8
960,0.8,0.8
970,0.8,0.8
980,0.8,0.8
990,0.8,0.8
1000,0.7,0.7
1010,0.7,0.7
1020,0.7,0.7
1030,0.7,0.7
1040,0.7,0.7
1050,0.7,0.7
1060,0.7,0.7
1070,0.7,0.7
1080,0.7,0.7
1090,0.7,0.7
1100,0.7,0.7
1110,0.7,0.7
1120,0.7,0.7
1130,0.7,0.7
1140,0.7,0.7
1150,0.7,0.7
1160,0.7,0.7
1170,0.7,0.7
1180,0.7,0.7
1190,0.7,0.7
1200,0.7,0.7
1210,0.7,0.7
1220,0.7,0.7
1230,0.7,0.7
1240,0.7,0.7
1250,0.7,0.7
1260,0.7,0.7
1270,0.7,0.7
1280,0.7,0.7
1290,0.7,0.7
1300,0.7,0.7
1310,0.7,0.7
1320,0.7,0.7
1330,0.7,0.7
1340,0.7,0.7
1350,0.7,0.7
1360,0.7,0.7
1370,0.7,0.7
1380,0.7,0.7
1390,0.7,0.7
1400,0.7,0.7
1410,0.7,0.7
1420,0.7,0.7
1430,0.7,0.7
1440,0.7,0.7
1450,0.7,0.7
1750,0.7,0.7
1760,0.7,0.7
1770,0.7,0.7
1780,0.7,0.7
1790,0.7,0.7
1800,0.7,0.7
1810,0.7,0.7
1820,0.7,0.7
1830,0.7,0.7
1840,0.7,0.7
1850,0.7,0.7
1860,0.7,0.7
1870,0.7,0.7
1880,0.7,0.7
1890,0.7,0.7
1900,0.7,0.7
1910,0.7,0.7
1920,0.7,0.7
1930,0.7,0.7
1940,0.7,0.7
1950,0.7,0.7
1960,0.7,0.7
1970,0.7,0.7
1980,0.7,0.7
1990,0.7,0.7
2000,0.6,0.6
2010,0.6,0.6
2020,0.6,0.6
2030,0.6,0.6
2040,0.6,0.6
2050,0.6,0.6
2060,0.6,0.6
2070,0.6,0.6
2080,0.6,0.6
2090,0.6,0.6
2100,0.6,0.6
2110,0.6,0.6
2120,0.6,0.6
2130,0.6,0.6
2140,0.6,0.6
2150,0.6,0.6
2160,0.6,0.6
2170,0.6,0.6
2180,0.6,0.6
2190,0.6,0.6
2200,0.6,0.6
2210,0.6,0.6
2220,0.6,0.6
2230,0.6,0.6
2240,0.6,0.6
2250,0.6,0.6
2260,0.6,0.6
2270,0.6,0.6
2280,0.6,0.6
2290,0.6,0.6
2300,0.6,0.6
2310,0.6,0.6
2320,0.6,0.6
2330,0.6,0.6
2340,0.6,0.6
2350,0.6,0.6
2360,0.6,0.6
2370,0.6,0.6
2380,0.6,0.6
2390,0.6,0.6
2400,0.6,0.6
2410,0.6,0.6
2420,0.6,0.6
2430,0.6,0.6
2440,0.6,0.6
2450,0.6,0.6
2460,0.6,0.6
2470,0.6,0.6
2480,0.6,0.6
2490,0.6,0.6
2500,0.6,0.6
2510,0.6,0.6
2520,0.6,0.6
2530,0.6,0.6
2540,0.6,0.6
2550,0.6,0.6
2560,0.6,0.6
2570,0.6,0.6
2580,0.6,0.6
2590,0.6,0.6
2600,0.6,0.6
2610,0.6,0.6
2620,0.6,0.6
2630,0.6,0.6
2640,0.6,0.6
2650,0.6,0.6
2660,0.6,0.6
2670,0.6,0.6
2680,0.6,0.6
2690,0.6,0.6
2700,0.6,0.6
2710,0.6,0.6
2720,0.6,0.6
2730,0.6,0.6
2740,0.6,0.6
2750,0.6,0.6
2760,0.6,0.6
2770,0.6,0.6
2780,0.6,0.6
2790,0.6,0.6
2800,0.6,0.6
2810,0.6,0.6
2820,0.6,0.6
2830,0.6,0.6
2840,0.6,0.6
2850,0.6,0.6
2860,0.6,0.6
2870,0.6,0.6
2880,0.6,0.6
2890,0.6,0.6
2900,0.6,0.6
2910,0.6,0.6
2920,0.6,0.6
2930,0.6,0.6
2940,0.6,0.6
2950,0.6,0.6
2960,0.6,0.6
2970,0.6,0.6
2980,0.6,0.6
2990,0.6,0.6
3000,0.6,0.6
3010,0.6,0.6
3020,0.6,0.6
3030,0.6,0.6
3040,0.6,0.6
3050,0.6,0.6
3060,0.6,0.6
3070,0.6,0.6
3080,0.6,0.6
3090,0.6,0.6
3100,0.6,0.6
3110,0.6,0.6
3120,0.6,0.6
3130,0.6,0.6
3140,0.6,0.6
3150,0.6,0.6
3160,0.6,0.6
3170,0.6,0.6
3180,0.6,0.6
3190,0.6,0.6
3200,0.6,0.6
3210,0.6,0.6
3220,0.6,0.6
3230,0.6,0.6
3240,0.6,0.6
3250,0.6,0.6
3260,0.6,0.6
3270,0.6,0.6
3280,0.6,0.6
3290,0.6,0.6
3300,0.6,0.6
3310,0.6,0.6
3320,0.6,0.6
3330,0.6,0.6
3340,0.6,0.6
3350,0.6,0.6
3360,0.6,0.6
3370,0.6,0.6
3380,0.6,0.6
3390,0.6,0.6
3400,0.6,0.6
3410,0.6,0.6
3420,0.6,0.6
3430,0.6,0.6
3440,0.6,0.6
3450,0.6,0.6
3460,0.6,0.6
3470,0.6,0.6
3480,0.6,0.6
3490,0.6,0.6
3500,0.6,0.6
3510,0.6,0.6
3520,0.6,0.6
3530,0.6,0.6
3540,0.6,0.6
3550,0.6,0.6
3560,0.6,0.6
3570,0.6,0.6
3580,0.6,0.6
3590,0.6,0.6
3600,0.6,0.6
3610,0.6,0.6
3620,0.6,0.6
3630,0.6,0.6
3640,0.6,0.6
3650,0.6,0.6
3660,0.6,0.6
3670,0.6,0.6
3680,0.6,0.6
3690,0.6,0.6
3700,0.6,0.6
3710,0.6,0.6
3720,0.6,0.6
3730,0.6,0.6
3740,0.6,0.6
3750,0.6,0.6
3760,0.6,0.6
3770,0.6,0.6
3780,0.6,0.6
3790,0.6,0.6
3800,0.6,0.6
3810,0.6,0.6
3820,0.6,0.6
3830,0.6,0.6
3840,0.6,0.6
3850,0.6,0.6
3860,0.6,0.6
3870,0.6,0.6
3880,0.6,0.6
3890,0.6,0.6
3900,0.6,0.6
3910,0.6,0.6
3920,0.6,0.6
3930,0.6,0.6
3940,0.6,0.6
3950,0.6,0.6
3960,0.6,0.6
3970,0.6,0.6
3980,0.6,0.6
3990,0.6,0.6
4000,0.52,0.52
4010,0.52,0.52
4020,0.52,0.52
4030,0.52,0.52
4040,0.52,0.52
4050,0.52,0.52
4060,0.52,0.52
4070,0.52,0.52
4080,0.52,0.52
4090,0.52,0.52
4100,0.52,0.52
4110,0.52,0.52
4120,0.52,0.52
4130,0.52,0.52
4140,0.52,0.52
4150,0.52,0.52
4160,0.52,0.52
4170,0.52,0.52
4180,0.52,0.52
4190,0.52,0.52
4200,0.52,0.52
4210,0.52,0.52
4220,0.52,0.52
4230,0.52,0.52
4240,0.52,0.52
4250,0.52,0.52
4260,0.52,0.52
4270,0.52,0.52
4280,0.52,0.52
4290,0.52,0.52
4300,0.52,0.52
4310,0.52,0.52
4320,0.52,0.52
4330,0.52,0.52
4340,0.52,0.52
4350,0.52,0.52
4360,0.52,0.52
4370,0.52,0.52
4380,0.52,0.52
4390,0.52,0.52
4400,0.52,0.52
4410,0.52,0.52
4420,0.52,0.52
4430,0.52,0.52
4440,0.52,0.52
4450,0.52,0.52
4460,0.52,0.52
4470,0.52,0.52
4480,0.52,0.52
4490,0.52,0.52
4500,0.52,0.52
4510,0.52,0.52
4520,0.52,0.52
4530,0.52,0.52
4540,0.52,0.52
4550,0.52,0.52
4560,0.52,0.52
4570,0.52,0.52
4580,0.52,0.52
4590,0.52,0.52
4600,0.52,0.52
4610,0.52,0.52
4620,0.52,0.52
4630,0.52,0.52
4640,0.52,0.52
4650,0.52,0.52
4660,0.52,0.52
4670,0.52,0.52
4680,0.52,0.52
4690,0.52,0.52
4700,0.52,0.52
4710,0.52,0.52
4720,0.52,0.52
4730,0.52,0.52
4740,0.52,0.52
4750,0.52,0.52
4760,0.52,0.52
4770,0.52,0.52
4780,0.52,0.52
4790,0.52,0.52
4800,0.52,0.52
4810,0.52,0.52
4820,0.52,0.52
4830,0.52,0.52
4840,0.52,0.52
4850,0.52,0.52
4860,0.52,0.52
4870,0.52,0.52
4880,0.52,0.52
4890,0.52,0.52
4900,0.52,0.52
4910,0.52,0.52
4920,0.52,0.52
4930,0.52,0.52
4940,0.52,0.52
4950,0.52,0.52
4960,0.52,0.52
4970,0.52,0.52
4980,0.52,0.52
4990,0.52,0.52
5000,0.52,0.52
