NM,range,mean_max_03,tpr,tnr
0.1,185,0.71068,0.10621,0.10621
0.1,195,0.71068,0.10621,0.10621
0.1,205,0.71068,0.10621,0.10621
0.1,215,0.71068,0.10621,0.10621
0.1,225,0.71068,0.10621,0.10621
0.1,235,0.71068,0.10621,0.10621
0.1,245,0.71068,0.10621,0.10621
0.1,255,0.71068,0.10621,0.10621
0.1,265,0.71068,0.10621,0.10621
0.1,275,0.71068,0.10621,0.10621
0.1,285,0.71068,0.10621,0.10621
0.1,295,0.71068,0.10621,0.10621
0.1,305,0.71068,0.10621,0.10621
0.1,315,0.71068,0.10621,0.10621
0.1,325,0.71068,0.10621,0.10621
0.1,335,0.71068,0.10621,0.10621
0.1,345,0.71068,0.10621,0.10621
0.1,355,0.71068,0.10621,0.10621
0.1,365,0.71068,0.10621,0.10621
0.1,375,0.71068,0.10621,0.10621
0.1,385,0.71068,0.10621,0.10621
0.1,395,0.71068,0.10621,0.10621
0.1,405,0.71068,0.10621,0.10621
0.1,415,0.71068,0.10621,0.10621
0.1,425,0.71068,0.10621,0.10621
0.1,435,0.71068,0.10621,0.10621
0.1,445,0.71068,0.10621,0.10621
0.1,455,0.71068,0.10621,0.10621
0.25,465,0.86906,0.08465,0.08465
0.25,475,0.86906,0.08465,0.08465
0.25,485,0.86906,0.08465,0.08465
0.25,495,0.86906,0.08465,0.08465
0.25,505,0.86906,0.08465,0.08465
0.25,515,0.86906,0.08465,0.08465
0.25,525,0.86906,0.08465,0.08465
0.25,535,0.86906,0.08465,0.08465
0.25,545,0.86906,0.08465,0.08465
0.25,555,0.86906,0.08465,0.08465
0.25,565,0.86906,0.08465,0.08465
0.25,575,0.86906,0.08465,0.08465
0.25,585,0.86906,0.08465,0.08465
0.25,595,0.86906,0.08465,0.08465
0.25,605,0.86906,0.08465,0.08465
0.25,615,0.86906,0.08465,0.08465
0.25,625,0.86906,0.08465,0.08465
0.25,635,0.86906,0.08465,0.08465
0.25,645,0.86906,0.08465,0.08465
0.25,655,0.86906,0.08465,0.08465
0.25,665,0.86906,0.08465,0.08465
0.25,675,0.86906,0.08465,0.08465
0.25,685,0.86906,0.08465,0.08465
0.25,695,0.86906,0.08465,0.08465
0.25,705,0.86906,0.08465,0.08465
0.25,715,0.86906,0.08465,0.08465
0.25,725,0.86906,0.08465,0.08465
0.25,735,0.86906,0.08465,0.08465
0.25,745,0.86906,0.08465,0.08465
0.25,755,0.86906,0.08465,0.08465
0.25,765,0.86906,0.08465,0.08465
0.25,775,0.86906,0.08465,0.08465
0.25,785,0.86906,0.08465,0.08465
0.25,795,0.86906,0.08465,0.08465
0.25,805,0.86906,0.08465,0.08465
0.25,815,0.86906,0.08465,0.08465
0.25,825,0.86906,0.08465,0.08465
0.25,835,0.86906,0.08465,0.08465
0.25,845,0.86906,0.08465,0.08465
0.25,855,0.86906,0.08465,0.08465
0.25,865,0.86906,0.08465,0.08465
0.25,875,0.86906,0.08465,0.08465
0.25,885,0.86906,0.08465,0.08465
0.25,895,0.86906,0.08465,0.08465
0.25,905,0.86906,0.08465,0.08465
0.25,915,0.86906,0.08465,0.08465
0.25,925,0.86906,0.08465,0.08465
0.5,935,0.93279,0.13391,0.13391
0.5,945,0.93279,0.13391,0.13391
0.5,955,0.93279,0.13391,0.13391
0.5,965,0.93279,0.13391,0.13391
0.5,975,0.93279,0.13391,0.13391
0.5,985,0.93279,0.13391,0.13391
0.5,995,0.93279,0.13391,0.13391
0.5,1005,0.93279,0.13391,0.13391
0.5,1015,0.93279,0.13391,0.13391
0.5,1025,0.93279,0.13391,0.13391
0.5,1035,0.93279,0.13391,0.13391
0.5,1045,0.93279,0.13391,0.13391
0.5,1055,0.93279,0.13391,0.13391
0.5,1065,0.93279,0.13391,0.13391
0.5,1075,0.93279,0.13391,0.13391
0.5,1085,0.93279,0.13391,0.13391
0.5,1095,0.93279,0.13391,0.13391
0.5,1105,0.93279,0.13391,0.13391
0.5,1115,0.93279,0.13391,0.13391
0.5,1125,0.93279,0.13391,0.13391
0.5,1135,0.93279,0.13391,0.13391
0.5,1145,0.93279,0.13391,0.13391
0.5,1155,0.93279,0.13391,0.13391
0.5,1165,0.93279,0.13391,0.13391
0.5,1175,0.93279,0.13391,0.13391
0.5,1185,0.93279,0.13391,0.13391
0.5,1195,0.93279,0.13391,0.13391
0.5,1205,0.93279,0.13391,0.13391
0.5,1215,0.93279,0.13391,0.13391
0.5,1225,0.93279,0.13391,0.13391
0.5,1235,0.93279,0.13391,0.13391
0.5,1245,0.93279,0.13391,0.13391
0.5,1255,0.93279,0.13391,0.13391
0.5,1265,0.93279,0.13391,0.13391
0.5,1275,0.93279,0.13391,0.13391
0.5,1285,0.93279,0.13391,0.13391
0.5,1295,0.93279,0.13391,0.13391
0.5,1305,0.93279,0.13391,0.13391
0.5,1315,0.93279,0.13391,0.13391
0.5,1325,0.93279,0.13391,0.13391
0.5,1335,0.93279,0.13391,0.13391
0.5,1345,0.93279,0.13391,0.13391
0.5,1355,0.93279,0.13391,0.13391
0.5,1365,0.93279,0.13391,0.13391
0.5,1375,0.93279,0.13391,0.13391
0.5,1385,0.93279,0.13391,0.13391
0.5,1395,0.93279,0.13391,0.13391
0.5,1405,0.93279,0.13391,0.13391
0.5,1415,0.93279,0.13391,0.13391
0.5,1425,0.93279,0.13391,0.13391
0.5,1435,0.93279,0.13391,0.13391
0.5,1445,0.93279,0.13391,0.13391
0.5,1455,0.93279,0.13391,0.13391
0.5,1465,0.93279,0.13391,0.13391
0.5,1475,0.93279,0.13391,0.13391
0.5,1485,0.93279,0.13391,0.13391
0.5,1495,0.93279,0.13391,0.13391
0.5,1505,0.93279,0.13391,0.13391
0.5,1515,0.93279,0.13391,0.13391
0.5,1525,0.93279,0.13391,0.13391
0.5,1535,0.93279,0.13391,0.13391
0.5,1545,0.93279,0.13391,0.13391
0.5,1555,0.93279,0.13391,0.13391
0.5,1565,0.93279,0.13391,0.13391
0.5,1575,0.93279,0.13391,0.13391
0.5,1585,0.93279,0.13391,0.13391
0.5,1595,0.93279,0.13391,0.13391
0.5,1605,0.93279,0.13391,0.13391
0.5,1615,0.93279,0.13391,0.13391
0.5,1625,0.93279,0.13391,0.13391
0.5,1635,0.93279,0.13391,0.13391
0.5,1645,0.93279,0.13391,0.13391
0.5,1655,0.93279,0.13391,0.13391
0.5,1665,0.93279,0.13391,0.13391
0.5,1675,0.93279,0.13391,0.13391
0.5,1685,0.93279,0.13391,0.13391
0.5,1695,0.93279,0.13391,0.13391
0.5,1705,0.93279,0.13391,0.13391
0.5,1715,0.93279,0.13391,0.13391
0.5,1725,0.93279,0.13391,0.13391
0.5,1735,0.93279,0.13391,0.13391
0.5,1745,0.93279,0.13391,0.13391
0.5,1755,0.93279,0.13391,0.13391
0.5,1765,0.93279,0.13391,0.13391
0.5,1775,0.93279,0.13391,0.13391
0.5,1785,0.93279,0.13391,0.13391
0.5,1795,0.93279,0.13391,0.13391
0.5,1805,0.93279,0.13391,0.13391
0.5,1815,0.93279,0.13391,0.13391
0.5,1825,0.93279,0.13391,0.13391
0.5,1835,0.93279,0.13391,0.13391
0.5,1845,0.93279,0.13391,0.13391
1,1855,0.92076,0.14698,0.14698
1,1865,0.92076,0.14698,0.14698
1,1875,0.92076,0.14698,0.14698
1,1885,0.92076,0.14698,0.14698
1,1895,0.92076,0.14698,0.14698
1,1905,0.92076,0.14698,0.14698
1,1915,0.92076,0.14698,0.14698
1,1925,0.92076,0.14698,0.14698
1,1935,0.92076,0.14698,0.14698
1,1945,0.92076,0.14698,0.14698
1,1955,0.92076,0.14698,0.14698
1,1965,0.92076,0.14698,0.14698
1,1975,0.92076,0.14698,0.14698
1,1985,0.92076,0.14698,0.14698
1,1995,0.92076,0.14698,0.14698
1,2005,0.92076,0.14698,0.14698
1,2015,0.92076,0.14698,0.14698
1,2025,0.92076,0.14698,0.14698
1,2035,0.92076,0.14698,0.14698
1,2045,0.92076,0.14698,0.14698
